You are now connected to database "nc_games" as user "joewaddicor".
 review_id |                        title                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                   review_body                                                                                                                                                                                                                                                                                                                                                                                                                                                    |        designer        |                                                 review_img_url                                                  | votes |    category     |    owner     |       created_at        
-----------+------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------+-----------------------------------------------------------------------------------------------------------------+-------+-----------------+--------------+-------------------------
         1 | Culture a Love of Agriculture With Agricola          | You could sum up Agricola with the simple phrase 'Farmyeard Fun' but the mechanics and game play add so much more than that. You'll find yourself torn between breeding pigs, or sowing crops. Its joyeous and rewarding and it makes you think of time spent outside, which is much harder to do these days!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | Uwe Rosenberg          | https://images.pexels.com/photos/4917821/pexels-photo-4917821.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260 |     1 | strategy        | tickle122    | 2021-01-18 10:00:20.514
         2 | JengARRGGGH!                                         | Few games are equiped to fill a player with such a defined sense of mild-peril, but a friendly game of Jenga will turn the mustn't-make-it-fall anxiety all the way up to 11! Fiddly fun for all the family, this game needs little explaination. Whether you're a player who chooses to play it safe, or one who lives life on the edge, eventually the removal of blocks will destabilise the tower and all your Jenga dreams come tumbling down.                                                                                                                                                                                                                                                                                                                                                                                                                                                              | Leslie Scott           | https://images.pexels.com/photos/4009761/pexels-photo-4009761.jpeg?auto=compress&cs=tinysrgb&dpr=3&h=750&w=1260 |     5 | dexterity       | grumpy19     | 2021-01-18 10:01:41.251
         3 | Karma Karma Chameleon                                | Try to trick your friends. If you find yourself being dealt the Chamelean card then the aim of the game is simple; blend in... Meanwhile the other players aim to be as vague as they can to not give the game away                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | Rikki Tahta            | https://images.pexels.com/photos/5350049/pexels-photo-5350049.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260 |     5 | hidden-roles    | happyamy2016 | 2021-01-18 10:01:42.151
         4 | One Night Ultimate Werewolf                          | We couldn't find the werewolf!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Akihisa Okui           | https://images.pexels.com/photos/5350049/pexels-photo-5350049.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260 |     5 | hidden-roles    | happyamy2016 | 2021-01-18 10:01:41.251
         5 | A truly Quacking Game; Quacks of Quedlinburg         | Ever wish you could try your hand at mixing potions? Quacks of Quedlinburg will have you mixing up a homebrew like no other. Each player buys different ingredients (chips) that are drawn at random to reach the most points, but watch out, you'd better not let your cauldrom explode.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Wolfgang Warsch        | https://images.pexels.com/photos/163064/play-stone-network-networked-interactive-163064.jpeg                    |    10 | push-your-luck  | happyamy2016 | 2021-01-18 10:01:41.251
         6 | Build you own tour de Yorkshire                      | Cold rain pours on the faces of your team of cyclists, you pulled to the front of the pack early and now your taking on exhaustion cards like there is not tomorrow, you think there are about 2 hands left until you cross the finish line, will you draw enough from your deck to cross before the other team shoot passed? Flamee Rouge is a Racing deck management game where you carefully manage your deck in order to cross the line before your opponents, cyclist can fall slyly behind front runners in their slipstreams to save precious energy for the prefect moment to burst into the lead                                                                                                                                                                                                                                                                                                        | Asger Harding Granerud | https://images.pexels.com/photos/258045/pexels-photo-258045.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260   |    10 | deck-building   | cooljmessy   | 2021-01-18 10:01:41.251
         7 | That's just what an evil person would say!           | If you've ever wanted to accuse your siblings, cousins or friends of being part of a plot to murder everyone whilst secretly choosing which one of them should get the chop next - this is the boardgame for you. Buyer beware: once you gain a reputation for being able to lie with a stone face about being the secret killer you may never lose it.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Fiona Lohoar           | https://images.pexels.com/photos/163064/play-stone-network-networked-interactive-163064.jpeg                    |     8 | hidden-roles    | happyamy2016 | 2021-01-18 10:01:41.251
         8 | Scythe; you're gonna need a bigger table!            | Spend 30 minutes just setting up all of the boards (!) meeple and decks, just to forget how to play. Scythe can be a lengthy game but really packs a punch if you put the time in. With beautiful artwork, countless scenarios and clever game mechanics, this board game is a must for any board game fanatic; just make sure you explain ALL the rules before you start playing with first timers or you may find they bring it up again and again.                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Jamey Stegmaier        | https://images.pexels.com/photos/163064/play-stone-network-networked-interactive-163064.jpeg                    |   100 | engine-building | grumpy19     | 2021-01-22 10:37:04.839
         9 | Settlers of Catan: Don't Settle For Less             | You have stumbled across an uncharted island rich in natural resources, but you are not alone; other adventurers have come ashore too, and the race to settle the island of Catan has begun! Whether you exert military force, build a road to rival the Great Wall, trade goods with ships from the outside world, or some combination of all three, the aim is the same: to dominate the island. Will you prevail? Proceed strategically, trade wisely, and may the odds be in favour.                                                                                                                                                                                                                                                                                                                                                                                                                         | Klaus Teuber           | https://images.pexels.com/photos/163064/play-stone-network-networked-interactive-163064.jpeg                    |    16 | strategy        | tickle122    | 1970-01-10 03:08:38.4
